mitigation_id,source_attack_id,subset_role,image_id,filename,target_class,class_id,bbox_x,bbox_y,bbox_width,bbox_height,image_width,image_height,attack_random_seed,clean_detected,attacked_detected,eligible_for_asr,attack_success,clean_confidence,attacked_confidence,clean_iou,attacked_iou,patch_filename,patch_size_pixels,patch_scale,patch_center_x,patch_center_y,reconstructed_patch_size,reconstructed_patch_x,reconstructed_patch_y,reconstructed_x1,reconstructed_y1,reconstructed_x2,reconstructed_y2,control_selection_seed
mitigation_01,attack_02,control,534041,000000534041.jpg,person,1,223.31,2.53,276.69,367.41,500,375,799732703,Yes,Yes,Yes,No,0.609187,0.490716,0.8659445038056318,0.8460612095186263,diffusion_patch_02.png,83,0.3,361.655,186.235,83,320.155,144.735,320,145,403,228,22021501
mitigation_01,attack_02,control,550691,000000550691.jpg,car,3,116.23,285.85,85.03,71.03,640,480,799732703,Yes,Yes,Yes,No,0.881036,0.901018,0.9203083203952906,0.9152732635456817,diffusion_patch_02.png,21,0.3,158.745,321.365,21,148.245,310.865,148,311,169,332,22021501
mitigation_01,attack_02,success,15338,000000015338.jpg,car,3,0.0,187.2,32.65,27.37,640,424,799732703,Yes,No,Yes,Yes,0.283718,0.0,0.8596497750230144,0.0,diffusion_patch_02.png,8,0.3,16.325,200.885,8,12.325,196.885,12,197,20,205,22021501
mitigation_01,attack_02,success,26926,000000026926.jpg,car,3,134.13,159.86,74.46,85.28,423,640,799732703,Yes,No,Yes,Yes,0.252646,0.0,0.7606389546161549,0.0,diffusion_patch_02.png,22,0.3,171.35999999999999,202.5,22,160.35999999999999,191.5,160,192,182,214,22021501
mitigation_01,attack_02,success,127263,000000127263.jpg,car,3,501.43,106.88,138.57,67.52,640,427,799732703,Yes,No,Yes,Yes,0.27451,0.0,0.9329578275272816,0.0,diffusion_patch_02.png,20,0.3,570.715,140.64,20,560.715,130.64,561,131,581,151,22021501
mitigation_01,attack_02,success,135410,000000135410.jpg,car,3,154.07,221.97,225.31,93.81,480,640,799732703,Yes,No,Yes,Yes,0.270825,0.0,0.6187580273606919,0.0,diffusion_patch_02.png,28,0.3,266.725,268.875,28,252.72500000000002,254.875,253,255,281,283,22021501
mitigation_01,attack_02,success,166391,000000166391.jpg,car,3,577.57,336.36,62.28,45.19,640,427,799732703,Yes,No,Yes,Yes,0.512845,0.0,0.9236275657862918,0.0,diffusion_patch_02.png,14,0.3,608.71,358.95500000000004,14,601.71,351.95500000000004,602,352,616,366,22021501
mitigation_01,attack_02,success,181499,000000181499.jpg,person,1,167.16,382.73,121.04,123.35,640,513,799732703,Yes,No,Yes,Yes,0.376848,0.0,0.9311467974495277,0.0,diffusion_patch_02.png,36,0.3,227.68,444.40500000000003,36,209.68,426.40500000000003,210,426,246,462,22021501
mitigation_01,attack_02,success,193717,000000193717.jpg,car,3,0.0,173.74,40.95,48.23,521,640,799732703,Yes,No,Yes,Yes,0.329352,0.0,0.9381606177941323,0.0,diffusion_patch_02.png,12,0.3,20.475,197.85500000000002,12,14.475000000000001,191.85500000000002,14,192,26,204,22021501
mitigation_01,attack_02,success,338986,000000338986.jpg,car,3,294.98,523.05,108.02,103.88,403,640,799732703,Yes,No,Yes,Yes,0.665034,0.0,0.9128065470555072,0.0,diffusion_patch_02.png,31,0.3,348.99,574.99,31,333.49,559.49,333,559,364,590,22021501
mitigation_01,attack_02,success,347370,000000347370.jpg,person,1,0.86,62.77,93.99,281.01,500,375,799732703,Yes,No,Yes,Yes,0.420738,0.0,0.816972565114441,0.0,diffusion_patch_02.png,28,0.3,47.855,203.275,28,33.855,189.275,34,189,62,217,22021501
mitigation_01,attack_02,success,385029,000000385029.jpg,person,1,0.0,308.49,272.9,170.43,640,480,799732703,Yes,No,Yes,Yes,0.296063,0.0,0.9951020456221895,0.0,diffusion_patch_02.png,51,0.3,136.45,393.70500000000004,51,110.94999999999999,368.20500000000004,111,368,162,419,22021501
mitigation_01,attack_02,success,393093,000000393093.jpg,car,3,282.56,355.03,75.76,46.45,640,424,799732703,Yes,No,Yes,Yes,0.751928,0.0,0.9418535031675658,0.0,diffusion_patch_02.png,14,0.3,320.44,378.255,14,313.44,371.255,313,371,327,385,22021501
mitigation_01,attack_02,success,407083,000000407083.jpg,car,3,0.0,1.66,480.0,623.38,480,640,799732703,Yes,No,Yes,Yes,0.353103,0.0,0.8382559394009172,0.0,diffusion_patch_02.png,144,0.3,240.0,313.35,144,168.0,241.35000000000002,168,241,312,385,22021501
mitigation_01,attack_02,success,413689,000000413689.jpg,car,3,1.47,144.4,52.82,23.56,640,426,799732703,Yes,No,Yes,Yes,0.53178,0.0,0.7598480542766571,0.0,diffusion_patch_02.png,7,0.3,27.88,156.18,7,24.38,152.68,24,153,31,160,22021501
mitigation_01,attack_02,success,527220,000000527220.jpg,car,3,3.0,3.5,163.0,154.5,500,169,799732703,Yes,No,Yes,Yes,0.567127,0.0,0.9649473444849205,0.0,diffusion_patch_02.png,46,0.3,84.5,80.75,46,61.5,57.75,62,58,108,104,22021501
mitigation_01,attack_02,success,542776,000000542776.jpg,person,1,246.03,197.2,393.97,224.01,640,426,799732703,Yes,No,Yes,Yes,0.326155,0.0,0.9807364703494991,0.0,diffusion_patch_02.png,67,0.3,443.015,309.205,67,409.515,275.705,410,276,477,343,22021501
