mitigation_id,source_attack_id,image_id,filename,target_class,case_type,clean_detected,attacked_detected,mitigated_detected,clean_confidence,attacked_confidence,mitigated_confidence,confidence_recovery,clean_to_mitigated_confidence_gap,clean_iou,attacked_iou,mitigated_iou,iou_recovery,clean_to_mitigated_iou_gap,attack_success,recovered_after_mitigation,control_preserved,control_regressed,patch_size_pixels,patch_x1,patch_y1,patch_x2,patch_y2,restoration_seed
mitigation_02,attack_05,296649,000000296649.jpg,car,control,Yes,Yes,Yes,0.83384,0.853223,0.865731,0.012508000000000075,-0.031891,0.9329492244674713,0.935793664651535,0.9479276726944407,0.012134008042905653,-0.014978448226969365,No,No,Yes,No,28,520,362,548,390,20260727
mitigation_02,attack_05,351810,000000351810.jpg,person,control,Yes,Yes,Yes,0.709926,0.694239,0.562143,-0.1320960000000001,0.147783,0.8318999818414528,0.7652962352126987,0.7598689393132674,-0.005427295899431361,0.07203104252818537,No,No,Yes,No,26,52,182,78,208,20260727
mitigation_02,attack_05,354829,000000354829.jpg,car,control,Yes,Yes,Yes,0.759489,0.434542,0.722521,0.287979,0.036968,0.9514362407669916,0.9768276887657006,0.9767037484728639,-0.0001239402928366884,-0.025267507705872272,No,No,Yes,No,46,204,138,250,184,20260727
mitigation_02,attack_05,368335,000000368335.jpg,car,control,Yes,Yes,Yes,0.735976,0.705147,0.676756,-0.028390999999999944,0.05921999999999994,0.8898920543616883,0.8978073000054397,0.8915289534445832,-0.006278346560856574,-0.0016368990828948826,No,No,Yes,No,37,44,288,81,325,20260727
mitigation_02,attack_05,414510,000000414510.jpg,person,control,Yes,Yes,Yes,0.730771,0.730855,0.578369,-0.152486,0.15240199999999993,0.5623070475740589,0.5576993020652105,0.5587365793426832,0.0010372772774727146,0.003570468231375745,No,No,Yes,No,26,146,314,172,340,20260727
mitigation_02,attack_05,416451,000000416451.jpg,person,control,Yes,Yes,Yes,0.823045,0.768511,0.827979,0.059467999999999965,-0.004933999999999994,0.7734313981029076,0.9286896846357513,0.852075137426466,-0.07661454720928529,-0.07864373932355839,No,No,Yes,No,79,120,245,199,324,20260727
mitigation_02,attack_05,453841,000000453841.jpg,car,control,Yes,Yes,Yes,0.941486,0.940516,0.923869,-0.016646999999999967,0.017616999999999994,0.9281318100162905,0.9321290468680037,0.9266066526191611,-0.005522394248842599,0.0015251573971294397,No,No,Yes,No,50,277,220,327,270,20260727
mitigation_02,attack_05,480021,000000480021.jpg,car,control,Yes,Yes,Yes,0.253575,0.710378,0.726789,0.016411000000000064,-0.473214,0.9273147290702715,0.5624538800200629,0.588483033237474,0.02602915321741106,0.3388316958327975,No,No,Yes,No,19,367,119,386,138,20260727
mitigation_02,attack_05,520009,000000520009.jpg,car,control,Yes,Yes,Yes,0.928509,0.916666,0.919142,0.0024760000000000337,0.009367000000000014,0.95689321915805,0.9606406608254181,0.9556070366383564,-0.005033624187061658,0.0012861825196935905,No,No,Yes,No,23,97,362,120,385,20260727
mitigation_02,attack_05,549220,000000549220.jpg,person,control,Yes,Yes,Yes,0.641504,0.578221,0.505198,-0.07302299999999995,0.13630599999999993,0.5934410656638018,0.6174336301173058,0.611721149084911,-0.005712481032394745,-0.018280083421109206,No,No,Yes,No,42,297,95,339,137,20260727
mitigation_02,attack_05,15338,000000015338.jpg,car,success,Yes,No,No,0.283718,0.0,0.0,0.0,0.283718,0.8596497750230144,0.0,0.0,0.0,0.8596497750230144,Yes,No,No,No,8,12,197,20,205,20260727
mitigation_02,attack_05,26465,000000026465.jpg,person,success,Yes,No,Yes,0.58074,0.0,0.292907,0.292907,0.28783300000000006,0.9461865017467903,0.0,0.9654888074275004,0.9654888074275004,-0.01930230568071012,Yes,Yes,No,No,39,46,129,85,168,20260727
mitigation_02,attack_05,26926,000000026926.jpg,car,success,Yes,No,No,0.252646,0.0,0.0,0.0,0.252646,0.7606389546161549,0.0,0.0,0.0,0.7606389546161549,Yes,No,No,No,22,160,192,182,214,20260727
mitigation_02,attack_05,43737,000000043737.jpg,car,success,Yes,No,No,0.352254,0.0,0.0,0.0,0.352254,0.8053425705343887,0.0,0.0,0.0,0.8053425705343887,Yes,No,No,No,11,146,430,157,441,20260727
mitigation_02,attack_05,55150,000000055150.jpg,car,success,Yes,No,No,0.682534,0.0,0.0,0.0,0.682534,0.6321870715084461,0.0,0.0,0.0,0.6321870715084461,Yes,No,No,No,61,507,167,568,228,20260727
mitigation_02,attack_05,127263,000000127263.jpg,car,success,Yes,No,No,0.27451,0.0,0.0,0.0,0.27451,0.9329578275272816,0.0,0.0,0.0,0.9329578275272816,Yes,No,No,No,20,561,131,581,151,20260727
mitigation_02,attack_05,135410,000000135410.jpg,car,success,Yes,No,Yes,0.270825,0.0,0.274509,0.274509,-0.0036840000000000206,0.6187580273606919,0.0,0.6344352790527379,0.6344352790527379,-0.015677251692046035,Yes,Yes,No,No,28,253,255,281,283,20260727
mitigation_02,attack_05,211674,000000211674.jpg,person,success,Yes,No,No,0.348972,0.0,0.0,0.0,0.348972,0.8784060773546017,0.0,0.0,0.0,0.8784060773546017,Yes,No,No,No,16,401,225,417,241,20260727
mitigation_02,attack_05,231508,000000231508.jpg,car,success,Yes,No,No,0.281561,0.0,0.0,0.0,0.281561,0.7444408147478748,0.0,0.0,0.0,0.7444408147478748,Yes,No,No,No,12,168,118,180,130,20260727
mitigation_02,attack_05,338986,000000338986.jpg,car,success,Yes,No,No,0.665034,0.0,0.0,0.0,0.665034,0.9128065470555072,0.0,0.0,0.0,0.9128065470555072,Yes,No,No,No,31,333,559,364,590,20260727
mitigation_02,attack_05,393093,000000393093.jpg,car,success,Yes,No,No,0.751928,0.0,0.0,0.0,0.751928,0.9418535031675658,0.0,0.0,0.0,0.9418535031675658,Yes,No,No,No,14,313,371,327,385,20260727
mitigation_02,attack_05,407083,000000407083.jpg,car,success,Yes,No,No,0.353103,0.0,0.0,0.0,0.353103,0.8382559394009172,0.0,0.0,0.0,0.8382559394009172,Yes,No,No,No,144,168,241,312,385,20260727
mitigation_02,attack_05,427055,000000427055.jpg,car,success,Yes,No,No,0.348065,0.0,0.0,0.0,0.348065,0.8629185323678524,0.0,0.0,0.0,0.8629185323678524,Yes,No,No,No,9,338,320,347,329,20260727
mitigation_02,attack_05,448256,000000448256.jpg,person,success,Yes,No,Yes,0.866015,0.0,0.860037,0.860037,0.005977999999999928,0.9724138903557948,0.0,0.9592636926596753,0.9592636926596753,0.013150197696119581,Yes,Yes,No,No,63,342,177,405,240,20260727
mitigation_02,attack_05,456303,000000456303.jpg,person,success,Yes,No,No,0.449126,0.0,0.0,0.0,0.449126,0.7039473339586629,0.0,0.0,0.0,0.7039473339586629,Yes,No,No,No,41,120,136,161,177,20260727
mitigation_02,attack_05,474164,000000474164.jpg,car,success,Yes,No,No,0.367166,0.0,0.0,0.0,0.367166,0.951047347141276,0.0,0.0,0.0,0.951047347141276,Yes,No,No,No,15,68,396,83,411,20260727
mitigation_02,attack_05,490936,000000490936.jpg,car,success,Yes,No,No,0.623868,0.0,0.0,0.0,0.623868,0.7253484863718943,0.0,0.0,0.0,0.7253484863718943,Yes,No,No,No,23,403,113,426,136,20260727
mitigation_02,attack_05,500613,000000500613.jpg,car,success,Yes,No,No,0.631514,0.0,0.0,0.0,0.631514,0.7342821046089014,0.0,0.0,0.0,0.7342821046089014,Yes,No,No,No,25,586,230,611,255,20260727
mitigation_02,attack_05,527220,000000527220.jpg,car,success,Yes,No,Yes,0.567127,0.0,0.42279,0.42279,0.14433700000000005,0.9649473444849205,0.0,0.9619814711862886,0.9619814711862886,0.0029658732986318492,Yes,Yes,No,No,46,62,58,108,104,20260727
mitigation_02,attack_05,566758,000000566758.jpg,car,success,Yes,No,No,0.267488,0.0,0.0,0.0,0.267488,0.9156749709172585,0.0,0.0,0.0,0.9156749709172585,Yes,No,No,No,15,578,195,593,210,20260727
