source_attack,image_id,image_id_raw,filename,target_class,subset_type,clean_detected,attacked_detected,clean_confidence,attacked_confidence,clean_iou,attacked_iou,bbox_x,bbox_y,bbox_width,bbox_height,image_width,image_height,patch_size_pixels,patch_center_x,patch_center_y,true_patch_x1,true_patch_y1,true_patch_x2,true_patch_y2,source_attacked_path,source_clean_path,selection_seed
attack_02,000000393093,393093,000000393093.jpg,car,attack_success,True,False,0.751928,0.0,0.9418535031675658,0.0,282.56,355.03,75.76,46.45,640,424,14.0,320.44,378.255,313.44,371.255,327.44,385.255,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000393093.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000393093.jpg,20260817
attack_02,000000407083,407083,000000407083.jpg,car,attack_success,True,False,0.353103,0.0,0.8382559394009172,0.0,0.0,1.66,480.0,623.38,480,640,144.0,240.0,313.35,168.0,241.35000000000002,312.0,385.35,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000407083.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000407083.jpg,20260817
attack_02,000000413689,413689,000000413689.jpg,car,attack_success,True,False,0.53178,0.0,0.7598480542766571,0.0,1.47,144.4,52.82,23.56,640,426,7.0,27.88,156.18,24.38,152.68,31.38,159.68,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000413689.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000413689.jpg,20260817
attack_02,000000527220,527220,000000527220.jpg,car,attack_success,True,False,0.567127,0.0,0.9649473444849205,0.0,3.0,3.5,163.0,154.5,500,169,46.0,84.5,80.75,61.5,57.75,107.5,103.75,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000527220.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000527220.jpg,20260817
attack_02,000000542776,542776,000000542776.jpg,person,attack_success,True,False,0.326155,0.0,0.9807364703494991,0.0,246.03,197.2,393.97,224.01,640,426,67.0,443.015,309.205,409.515,275.705,476.515,342.705,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000542776.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000542776.jpg,20260817
attack_02,000000295809,295809,000000295809.jpg,car,control,True,True,0.45997,0.468181,0.9609017787680554,0.9751866027709525,50.3,103.29,101.02,37.59,640,512,11.0,100.81,122.08500000000001,95.31,116.58500000000001,106.31,127.58500000000001,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000295809.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000295809.jpg,20260817
attack_02,000000322864,322864,000000322864.jpg,car,control,True,True,0.658206,0.263045,0.6923665350159397,0.9079446126454271,0.0,379.59,427.0,216.71,427,640,65.0,213.5,487.945,181.0,455.445,246.0,520.4449999999999,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000322864.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000322864.jpg,20260817
attack_02,000000331604,331604,000000331604.jpg,person,control,True,True,0.80719,0.818968,0.8405528181518672,0.8550350899598812,295.96,149.79,69.38,141.59,640,427,21.0,330.65,220.58499999999998,320.15,210.08499999999998,341.15,231.08499999999998,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000331604.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000331604.jpg,20260817
attack_02,000000336232,336232,000000336232.jpg,person,control,True,True,0.844278,0.85117,0.8640184035717926,0.869440291118027,86.31,133.3,90.28,173.79,640,427,27.0,131.45,220.195,117.94999999999999,206.695,144.95,233.695,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000336232.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000336232.jpg,20260817
attack_02,000000357737,357737,000000357737.jpg,car,control,True,True,0.90316,0.882195,0.946956252288589,0.9404210875804974,63.14,112.73,335.84,144.81,640,480,43.0,231.06,185.135,209.56,163.635,252.56,206.635,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000357737.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000357737.jpg,20260817
attack_02,000000368335,368335,000000368335.jpg,car,control,True,True,0.735976,0.734141,0.8898920543616883,0.8915579734596442,1.44,95.86,122.52,420.9,411,640,37.0,62.699999999999996,306.31,44.199999999999996,287.81,81.19999999999999,324.81,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000368335.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000368335.jpg,20260817
attack_02,000000372260,372260,000000372260.jpg,car,control,True,True,0.920146,0.898406,0.9451727287771546,0.948802890336984,0.0,315.65,117.63,210.85,427,640,35.0,58.815,421.075,41.315,403.575,76.315,438.575,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000372260.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000372260.jpg,20260817
attack_02,000000400367,400367,000000400367.jpg,car,control,True,True,0.921299,0.928487,0.9205493376159531,0.9222412156657012,11.92,241.44,115.47,79.71,500,333,24.0,69.655,281.295,57.655,269.295,81.655,293.295,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000400367.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000400367.jpg,20260817
attack_02,000000436617,436617,000000436617.jpg,person,control,True,True,0.8907,0.876841,0.9682442584055087,0.9629129503835534,58.26,180.35,197.7,239.72,640,425,59.0,157.10999999999999,300.21,127.60999999999999,270.71,186.60999999999999,329.71,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000436617.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000436617.jpg,20260817
attack_02,000000443426,443426,000000443426.jpg,person,control,True,True,0.868605,0.922977,0.8209326038983374,0.9180844729895757,20.04,203.45,459.96,428.1,480,640,128.0,250.01999999999998,417.5,186.01999999999998,353.5,314.02,481.5,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000443426.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000443426.jpg,20260817
attack_02,000000508602,508602,000000508602.jpg,car,control,True,True,0.567152,0.403371,0.9880048087267165,0.9850969429753763,1.85,251.93,498.15,172.52,500,429,52.0,250.92499999999998,338.19,224.92499999999998,312.19,276.92499999999995,364.19,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000508602.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000508602.jpg,20260817
attack_02,000000511599,511599,000000511599.jpg,person,control,True,True,0.286308,0.362652,0.6366654269842812,0.6317104875164573,397.25,259.35,44.96,62.45,640,480,13.0,419.73,290.57500000000005,413.23,284.07500000000005,426.23,297.07500000000005,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000511599.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000511599.jpg,20260817
attack_02,000000521141,521141,000000521141.jpg,car,control,True,True,0.853076,0.821873,0.9691802911398303,0.9694451297363234,304.59,241.5,70.32,31.93,375,500,10.0,339.75,257.465,334.75,252.46499999999997,344.75,262.465,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000521141.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000521141.jpg,20260817
attack_02,000000548246,548246,000000548246.jpg,person,control,True,True,0.90255,0.90729,0.9800504599698315,0.9801832648445015,214.8,100.19,208.39,323.0,640,428,63.0,318.995,261.69,287.495,230.19,350.495,293.19,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000548246.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000548246.jpg,20260817
attack_02,000000557672,557672,000000557672.jpg,person,control,True,True,0.942516,0.937944,0.9231181090003514,0.9241117656634458,212.12,38.92,314.29,390.19,640,433,94.0,369.265,234.015,322.265,187.015,416.265,281.015,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\patched_images\000000557672.jpg,D:\project CS\Adversarial-Patch-Experiment\attacks\attack_02\clean_images\000000557672.jpg,20260817
