mitigation_id,source_attack_id,image_id,filename,target_class,case_type,clean_detected,attacked_detected,mitigated_detected,clean_confidence,attacked_confidence,mitigated_confidence,confidence_recovery,clean_to_mitigated_confidence_gap,clean_iou,attacked_iou,mitigated_iou,iou_recovery,clean_to_mitigated_iou_gap,attack_success,recovered_after_mitigation,control_preserved,control_regressed,patch_size_pixels,patch_x1,patch_y1,patch_x2,patch_y2,restoration_seed
mitigation_01,attack_02,436617,000000436617.jpg,person,control,Yes,Yes,Yes,0.8907,0.876841,0.883992,0.0071510000000000185,0.006708000000000047,0.9682442584055087,0.9629129503835534,0.9584426527236455,-0.004470297659907918,0.009801605681863168,No,No,Yes,No,59,128,271,187,330,20260727
mitigation_01,attack_02,466986,000000466986.jpg,person,control,Yes,Yes,Yes,0.901856,0.884684,0.910204,0.025519999999999987,-0.008348000000000022,0.9712071531996818,0.9684951297565709,0.9659017333988092,-0.002593396357761679,0.005305419800872513,No,No,Yes,No,69,316,262,385,331,20260727
mitigation_01,attack_02,532855,000000532855.jpg,person,control,Yes,Yes,Yes,0.881556,0.68323,0.573284,-0.10994599999999999,0.308272,0.814018587089302,0.84518304152407,0.8114338718006404,-0.03374916972342956,0.0025847152886615543,No,No,Yes,No,67,172,80,239,147,20260727
mitigation_01,attack_02,534041,000000534041.jpg,person,control,Yes,Yes,Yes,0.609187,0.490716,0.293147,-0.197569,0.31604000000000004,0.8659445038056318,0.8460612095186263,0.8574364657990631,0.011375256280436785,0.008508038006568741,No,No,Yes,No,83,320,145,403,228,20260727
mitigation_01,attack_02,550691,000000550691.jpg,car,control,Yes,Yes,Yes,0.881036,0.901018,0.888625,-0.012392999999999987,-0.007588999999999957,0.9203083203952906,0.9152732635456817,0.907700633751874,-0.007572629793807684,0.012607686643416605,No,No,Yes,No,21,148,311,169,332,20260727
mitigation_01,attack_02,15338,000000015338.jpg,car,success,Yes,No,No,0.283718,0.0,0.0,0.0,0.283718,0.8596497750230144,0.0,0.0,0.0,0.8596497750230144,Yes,No,No,No,8,12,197,20,205,20260727
mitigation_01,attack_02,26926,000000026926.jpg,car,success,Yes,No,No,0.252646,0.0,0.0,0.0,0.252646,0.7606389546161549,0.0,0.0,0.0,0.7606389546161549,Yes,No,No,No,22,160,192,182,214,20260727
mitigation_01,attack_02,127263,000000127263.jpg,car,success,Yes,No,No,0.27451,0.0,0.0,0.0,0.27451,0.9329578275272816,0.0,0.0,0.0,0.9329578275272816,Yes,No,No,No,20,561,131,581,151,20260727
mitigation_01,attack_02,135410,000000135410.jpg,car,success,Yes,No,Yes,0.270825,0.0,0.260699,0.260699,0.010125999999999968,0.6187580273606919,0.0,0.59870261032976,0.59870261032976,0.020055417030931832,Yes,Yes,No,No,28,253,255,281,283,20260727
mitigation_01,attack_02,166391,000000166391.jpg,car,success,Yes,No,No,0.512845,0.0,0.0,0.0,0.512845,0.9236275657862918,0.0,0.0,0.0,0.9236275657862918,Yes,No,No,No,14,602,352,616,366,20260727
mitigation_01,attack_02,181499,000000181499.jpg,person,success,Yes,No,No,0.376848,0.0,0.0,0.0,0.376848,0.9311467974495277,0.0,0.0,0.0,0.9311467974495277,Yes,No,No,No,36,210,426,246,462,20260727
mitigation_01,attack_02,193717,000000193717.jpg,car,success,Yes,No,Yes,0.329352,0.0,0.275806,0.275806,0.05354599999999998,0.9381606177941323,0.0,0.7961203603021239,0.7961203603021239,0.14204025749200844,Yes,Yes,No,No,12,14,192,26,204,20260727
mitigation_01,attack_02,338986,000000338986.jpg,car,success,Yes,No,No,0.665034,0.0,0.0,0.0,0.665034,0.9128065470555072,0.0,0.0,0.0,0.9128065470555072,Yes,No,No,No,31,333,559,364,590,20260727
mitigation_01,attack_02,347370,000000347370.jpg,person,success,Yes,No,No,0.420738,0.0,0.0,0.0,0.420738,0.816972565114441,0.0,0.0,0.0,0.816972565114441,Yes,No,No,No,28,34,189,62,217,20260727
mitigation_01,attack_02,385029,000000385029.jpg,person,success,Yes,No,No,0.296063,0.0,0.0,0.0,0.296063,0.9951020456221895,0.0,0.0,0.0,0.9951020456221895,Yes,No,No,No,51,111,368,162,419,20260727
mitigation_01,attack_02,393093,000000393093.jpg,car,success,Yes,No,No,0.751928,0.0,0.0,0.0,0.751928,0.9418535031675658,0.0,0.0,0.0,0.9418535031675658,Yes,No,No,No,14,313,371,327,385,20260727
mitigation_01,attack_02,407083,000000407083.jpg,car,success,Yes,No,No,0.353103,0.0,0.0,0.0,0.353103,0.8382559394009172,0.0,0.0,0.0,0.8382559394009172,Yes,No,No,No,144,168,241,312,385,20260727
mitigation_01,attack_02,413689,000000413689.jpg,car,success,Yes,No,Yes,0.53178,0.0,0.396544,0.396544,0.13523600000000002,0.7598480542766571,0.0,0.7416152273793913,0.7416152273793913,0.018232826897265797,Yes,Yes,No,No,7,24,153,31,160,20260727
mitigation_01,attack_02,527220,000000527220.jpg,car,success,Yes,No,Yes,0.567127,0.0,0.520436,0.520436,0.04669100000000004,0.9649473444849205,0.0,0.9644798129726402,0.9644798129726402,0.00046753151228029477,Yes,Yes,No,No,46,62,58,108,104,20260727
mitigation_01,attack_02,542776,000000542776.jpg,person,success,Yes,No,No,0.326155,0.0,0.0,0.0,0.326155,0.9807364703494991,0.0,0.0,0.0,0.9807364703494991,Yes,No,No,No,67,410,276,477,343,20260727
